Education,Income,Kidhome,Teenhome,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Customer_For,Age,TotalSpent,Living_With,Children,Parenthood,Kmeans,ClustName
1,58138.0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,83894400000000000,66,1617,0,0,0,2,HighBuyer
1,46344.0,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,10800000000000000,69,27,0,2,1,1,LowBuyer
1,71613.0,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,40780800000000000,58,776,1,0,0,2,HighBuyer
1,26646.0,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,5616000000000000,39,53,1,1,1,1,LowBuyer
2,58293.0,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,27734400000000000,42,422,1,1,1,0,MidBuyer
2,62513.0,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,39139200000000000,56,716,1,1,1,0,MidBuyer
1,55635.0,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,65059200000000000,52,590,0,1,1,0,MidBuyer
2,33454.0,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,42163200000000000,38,169,1,1,1,1,LowBuyer
2,30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,47347200000000000,49,46,1,1,1,1,LowBuyer
2,5648.0,1,1,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,23155200000000000,73,49,1,2,1,1,LowBuyer
0,7500.0,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,65059200000000000,47,61,1,0,0,1,LowBuyer
1,63033.0,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,33350400000000000,64,1102,0,0,0,2,HighBuyer
2,59354.0,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,33350400000000000,71,310,0,2,1,0,MidBuyer
1,17323.0,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,67996800000000000,36,46,1,0,0,1,LowBuyer
2,82800.0,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,64108800000000000,77,1315,0,0,0,2,HighBuyer
1,41850.0,1,1,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,61516800000000000,43,96,1,2,1,1,LowBuyer
1,37760.0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,71452800000000000,77,317,1,0,0,1,LowBuyer
2,76995.0,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,53395200000000000,74,1782,1,1,1,0,MidBuyer
0,33812.0,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,86400000000000000,38,133,0,1,1,1,LowBuyer
1,37040.0,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,73440000000000000,41,316,1,0,0,1,LowBuyer
1,2447.0,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,47779200000000000,44,1730,1,1,1,0,MidBuyer
2,58607.0,0,1,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,61603200000000000,74,972,1,1,1,0,MidBuyer
2,65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,3024000000000000,69,544,1,1,1,0,MidBuyer
1,40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,54259200000000000,72,444,1,1,1,0,MidBuyer
1,18589.0,0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,58147200000000000,54,75,0,0,0,1,LowBuyer
1,53359.0,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,48211200000000000,47,257,1,2,1,1,LowBuyer
1,38360.0,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,47865600000000000,34,131,1,1,1,1,LowBuyer
2,84618.0,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,32745600000000000,58,1672,1,0,0,2,HighBuyer
2,10979.0,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,17107200000000000,34,30,0,0,0,1,LowBuyer
2,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,34214400000000000,60,318,1,0,0,1,LowBuyer
1,40548.0,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,67996800000000000,53,120,1,1,1,1,LowBuyer
2,46610.0,0,2,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,66355200000000000,71,302,0,2,1,0,MidBuyer
2,68657.0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,56505600000000000,77,1196,1,0,0,2,HighBuyer
2,49389.0,1,1,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,40089600000000000,72,65,0,2,1,1,LowBuyer
2,67353.0,0,1,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,29376000000000000,53,913,1,1,1,0,MidBuyer
0,23718.0,1,0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,57456000000000000,47,81,1,1,1,1,LowBuyer
1,42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,2937600000000000,50,67,0,1,1,1,LowBuyer
2,48948.0,0,0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,60739200000000000,80,902,0,0,0,2,HighBuyer
2,20559.0,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,31795200000000000,38,53,1,1,1,1,LowBuyer
1,21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,61516800000000000,66,22,1,1,1,1,LowBuyer
2,7500.0,1,0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,57369600000000000,48,31,1,1,1,1,LowBuyer
1,79941.0,0,0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,13910400000000000,47,984,0,0,0,2,HighBuyer
0,7500.0,0,0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,70502400000000000,27,122,1,0,0,1,LowBuyer
1,41728.0,1,0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,48470400000000000,55,55,1,1,1,1,LowBuyer
2,72550.0,1,1,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,73180800000000000,69,1319,1,2,1,0,MidBuyer
1,65486.0,0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,86400000000000,66,507,0,1,1,0,MidBuyer
2,79143.0,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,65491200000000000,59,1693,1,0,0,2,HighBuyer
1,35790.0,1,0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,58147200000000000,46,72,0,1,1,1,LowBuyer
1,82582.0,0,0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,13219200000000000,46,1617,0,0,0,2,HighBuyer
1,66373.0,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,31536000000000000,45,606,1,2,1,0,MidBuyer
2,82384.0,0,0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,64540800000000000,68,1957,1,0,0,2,HighBuyer
1,70287.0,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,57888000000000000,57,1093,0,0,0,2,HighBuyer
1,27938.0,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,19180800000000000,35,29,0,1,1,1,LowBuyer
2,55954.0,0,1,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,24019200000000000,55,518,1,1,1,0,MidBuyer
2,75777.0,0,0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,52531200000000000,41,1438,0,0,0,2,HighBuyer
1,66653.0,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,76032000000000000,48,612,1,2,1,0,MidBuyer
1,61823.0,0,1,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,56678400000000000,71,884,0,1,1,0,MidBuyer
2,67680.0,0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,34128000000000000,72,606,0,1,1,0,MidBuyer
1,70666.0,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,46828800000000000,75,1076,1,0,0,2,HighBuyer
1,25721.0,1,0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,48729600000000000,52,34,1,1,1,1,LowBuyer
1,32474.0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,2678400000000000,56,11,1,2,1,1,LowBuyer
1,69096.0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,37584000000000000,65,653,1,1,1,0,MidBuyer
1,74854.0,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,42249600000000000,53,1562,1,3,1,0,MidBuyer
2,66991.0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,65404800000000000,69,1253,1,0,0,2,HighBuyer
1,65031.0,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,54345600000000000,64,863,1,1,1,0,MidBuyer
2,60631.0,1,1,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,50198400000000000,48,661,1,2,1,0,MidBuyer
1,28332.0,0,0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,19008000000000000,71,65,1,0,0,1,LowBuyer
1,40246.0,1,0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,61948800000000000,46,13,0,1,1,1,LowBuyer
2,75251.0,0,0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,71798400000000000,51,1890,1,0,0,2,HighBuyer
1,75825.0,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,62726400000000000,47,2209,0,0,0,2,HighBuyer
0,26326.0,0,0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,52358400000000000,47,18,1,0,0,1,LowBuyer
1,56046.0,0,0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,58147200000000000,58,692,1,0,0,0,MidBuyer
1,29760.0,1,0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,71625600000000000,38,165,0,1,1,1,LowBuyer
1,26304.0,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,45878400000000000,54,16,1,1,1,1,LowBuyer
0,23559.0,1,0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,55209600000000000,50,79,1,1,1,1,LowBuyer
1,81361.0,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,24537600000000000,36,778,0,0,0,2,HighBuyer
1,29440.0,1,1,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,33955200000000000,63,56,1,2,1,1,LowBuyer
2,36138.0,1,1,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,43891200000000000,53,151,1,2,1,1,LowBuyer
1,50388.0,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,16588800000000000,66,372,0,1,1,0,MidBuyer
1,79593.0,0,0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,86400000000000,50,1366,1,0,0,2,HighBuyer
1,54178.0,0,1,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,27561600000000000,56,194,1,1,1,1,LowBuyer
2,42394.0,1,0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,22291200000000000,51,32,0,1,1,1,LowBuyer
2,23626.0,1,0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,16934400000000000,53,43,1,1,1,1,LowBuyer
1,30096.0,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,17107200000000000,40,45,1,1,1,1,LowBuyer
1,47916.0,0,1,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,64281600000000000,63,606,0,1,1,0,MidBuyer
